"pid","grp","duration","entry","exit","num","ind"
5,"inactive",5,0,24,6294,1
8,"inactive",5,0,31,6294,1
11,"inactive",5,0,28,6294,1
13,"inactive",5,0,22,6294,1
16,"inactive",5,0,27,6294,1
28,"inactive",5,0,21,6294,1
30,"inactive",5,0,22,6294,1
44,"inactive",5,0,27,6294,1
45,"inactive",5,0,25,6294,1
50,"inactive",5,0,24,6294,1
53,"inactive",5,0,27,6294,1
56,"inactive",6,1,43,6294,1
61,"inactive",7,2,45,6294,1
63,"inactive",5,0,29,6294,1
67,"inactive",5,0,27,6294,1
72,"inactive",5,0,31,6294,1
84,"inactive",5,0,33,6294,1
95,"inactive",5,0,32,6294,1
98,"inactive",9,4,45,6294,1
102,"inactive",5,0,29,6294,1
125,"inactive",18,13,63,6294,1
131,"inactive",10,5,53,6294,1
134,"inactive",7,2,44,6294,1
139,"inactive",9,4,45,6294,1
149,"inactive",5,0,33,6294,1
173,"inactive",5,0,37,6294,1
177,"inactive",5,0,36,6294,1
187,"inactive",12,7,55,6294,1
194,"inactive",5,0,36,6294,1
195,"inactive",22,17,70,6294,1
199,"inactive",5,0,38,6294,1
208,"inactive",11,6,48,6294,1
210,"inactive",5,0,40,6294,1
211,"inactive",19,14,62,6294,1
218,"inactive",9,4,50,6294,1
227,"inactive",44,39,99,6294,1
239,"inactive",15,10,55,6294,1
241,"inactive",16,11,57,6294,1
246,"inactive",18,13,61,6294,1
262,"inactive",12,7,48,6294,1
266,"inactive",8,3,47,6294,1
272,"inactive",33,28,82,6294,1
289,"inactive",5,0,42,6294,1
298,"inactive",11,6,49,6294,1
303,"inactive",13,8,57,6294,1
309,"inactive",11,6,54,6294,1
310,"inactive",23,18,68,6294,1
317,"inactive",14,9,57,6294,1
320,"inactive",9,4,46,6294,1
326,"inactive",8,3,46,6294,1
338,"inactive",31,26,82,6294,1
341,"inactive",14,9,54,6294,1
343,"inactive",25,20,73,6294,1
351,"inactive",5,0,39,6294,1
352,"inactive",21,16,66,6294,1
359,"inactive",14,9,56,6294,1
363,"inactive",15,10,55,6294,1
365,"inactive",10,5,50,6294,1
367,"inactive",5,0,45,6294,1
399,"inactive",15,10,54,6294,1
402,"inactive",15,10,56,6294,1
404,"inactive",6,1,44,6294,1
410,"inactive",14,9,57,6294,1
412,"inactive",12,7,52,6294,1
416,"inactive",10,5,49,6294,1
431,"inactive",18,13,62,6294,1
438,"inactive",37,32,90,6294,1
442,"inactive",29,24,79,6294,1
452,"inactive",44,39,99,6294,1
456,"inactive",23,18,67,6294,1
457,"inactive",15,10,58,6294,1
459,"inactive",29,24,74,6294,1
462,"inactive",22,17,69,6294,1
464,"inactive",37,32,91,6294,1
468,"inactive",17,12,60,6294,1
477,"inactive",25,20,72,6294,1
484,"inactive",34,29,91,6294,1
485,"inactive",32,27,85,6294,1
488,"inactive",22,17,68,6294,1
491,"inactive",38,33,89,6294,1
492,"inactive",16,11,59,6294,1
496,"inactive",30,25,77,6294,1
506,"inactive",28,23,77,6294,1
510,"inactive",30,25,89,6294,1
525,"inactive",23,18,73,6294,1
529,"inactive",30,25,82,6294,1
541,"inactive",34,29,87,6294,1
542,"inactive",43,38,105,6294,1
546,"inactive",19,14,66,6294,1
547,"inactive",12,7,53,6294,1
556,"inactive",36,31,91,6294,1
563,"inactive",27,22,81,6294,1
564,"inactive",31,26,81,6294,1
565,"inactive",37,32,87,6294,1
566,"inactive",44,39,102,6294,1
570,"inactive",21,16,67,6294,1
572,"inactive",12,7,50,6294,1
573,"inactive",33,28,83,6294,1
574,"inactive",24,19,69,6294,1
575,"inactive",21,16,68,6294,1
577,"inactive",34,29,89,6294,1
578,"inactive",8,3,49,6294,1
605,"inactive",30,25,82,6294,1
606,"inactive",28,23,76,6294,1
612,"inactive",31,26,83,6294,1
614,"inactive",31,26,83,6294,1
619,"inactive",22,17,72,6294,1
620,"inactive",23,18,71,6294,1
628,"inactive",26,21,77,6294,1
636,"inactive",30,25,78,6294,1
640,"inactive",58,53,122,6294,1
658,"inactive",42,37,103,6294,1
692,"inactive",52,47,113,6294,1
694,"inactive",60,55,122,6294,1
696,"inactive",38,33,94,6294,1
703,"inactive",43,38,99,6294,1
704,"inactive",33,28,85,6294,1
706,"inactive",40,35,100,6294,1
737,"inactive",59,54,125,6294,1
766,"inactive",59,54,125,6294,1
775,"inactive",48,43,109,6294,1
776,"inactive",43,38,104,6294,1
786,"inactive",43,38,97,6294,1
790,"inactive",43,38,103,6294,1
796,"inactive",46,41,107,6294,1
804,"inactive",63,58,130,6294,1
805,"inactive",44,39,106,6294,1
807,"inactive",34,29,87,6294,1
810,"inactive",41,36,99,6294,1
819,"inactive",39,34,95,6294,1
823,"inactive",35,30,87,6294,1
838,"inactive",47,42,110,6294,1
858,"inactive",57,52,123,6294,1
861,"inactive",55,50,119,6294,1
885,"inactive",78,73,151,6294,1
906,"inactive",69,64,137,6294,1
913,"inactive",67,62,135,6294,1
918,"inactive",42,37,102,6294,1
938,"inactive",80,75,152,6294,1
942,"inactive",43,38,103,6294,1
943,"inactive",61,56,125,6294,1
955,"inactive",60,55,123,6294,1
961,"inactive",77,72,150,6294,1
964,"inactive",60,55,127,6294,1
